date,component,value
2020-02-26,trend,2.48
2020-02-26,seasonal,-1.32
2020-02-26,residual,1.13
2020-02-27,actual,2.29
2020-02-27,trend,2.75
2020-02-27,seasonal,-10.84
2020-02-27,residual,10.38
2020-02-28,actual,2.29
2020-02-28,trend,3.03
2020-02-28,seasonal,-20.08
2020-02-28,residual,19.34
2020-02-29,actual,2.29
2020-02-29,trend,3.3
2020-02-29,seasonal,-28.31
2020-02-29,residual,27.29
2020-03-01,actual,4.71
2020-03-01,trend,6.99
2020-03-01,seasonal,27.86
2020-03-01,residual,-30.14
2020-03-02,actual,4.71
2020-03-02,trend,10.56
2020-03-02,seasonal,18.05
2020-03-02,residual,-23.91
2020-03-03,actual,4.71
2020-03-03,trend,14.13
2020-03-03,seasonal,8.32
2020-03-03,residual,-17.75
2020-03-04,actual,4.71
2020-03-04,trend,17.7
2020-03-04,seasonal,-1.32
2020-03-04,residual,-11.68
2020-03-05,actual,4.71
2020-03-05,trend,21.28
2020-03-05,seasonal,-10.84
2020-03-05,residual,-5.72
2020-03-06,actual,4.71
2020-03-06,trend,24.85
2020-03-06,seasonal,-20.08
2020-03-06,residual,-0.05
2020-03-07,actual,4.71
2020-03-07,trend,28.42
2020-03-07,seasonal,-28.31
2020-03-07,residual,4.6
2020-03-08,actual,55.86
2020-03-08,trend,61.27
2020-03-08,seasonal,27.86
2020-03-08,residual,-33.26
2020-03-09,actual,55.86
2020-03-09,trend,93.95
2020-03-09,seasonal,18.05
2020-03-09,residual,-56.15
2020-03-10,actual,55.86
2020-03-10,trend,126.64
2020-03-10,seasonal,8.32
2020-03-10,residual,-79.1
2020-03-11,actual,55.86
2020-03-11,trend,159.32
2020-03-11,seasonal,-1.32
2020-03-11,residual,-102.14
2020-03-12,actual,55.86
2020-03-12,trend,192.01
2020-03-12,seasonal,-10.84
2020-03-12,residual,-125.31
2020-03-13,actual,55.86
2020-03-13,trend,224.7
2020-03-13,seasonal,-20.08
2020-03-13,residual,-148.75
2020-03-14,actual,55.86
2020-03-14,trend,257.38
2020-03-14,seasonal,-28.31
2020-03-14,residual,-173.22
2020-03-15,actual,495.0
2020-03-15,trend,518.84
2020-03-15,seasonal,27.86
2020-03-15,residual,-51.7
2020-03-16,actual,495.0
2020-03-16,trend,776.89
2020-03-16,seasonal,18.05
2020-03-16,residual,-299.94
2020-03-17,actual,495.0
2020-03-17,trend,1034.93
2020-03-17,seasonal,8.32
2020-03-17,residual,-548.26
2020-03-18,actual,495.0
2020-03-18,trend,1292.98
2020-03-18,seasonal,-1.32
2020-03-18,residual,-796.66
2020-03-19,actual,495.0
2020-03-19,trend,1551.03
2020-03-19,seasonal,-10.84
2020-03-19,residual,-1045.19
2020-03-20,actual,495.0
2020-03-20,trend,1809.08
2020-03-20,seasonal,-20.08
2020-03-20,residual,-1293.99
2020-03-21,actual,495.0
2020-03-21,trend,2067.12
2020-03-21,seasonal,-28.31
2020-03-21,residual,-1543.82
2020-03-22,actual,3926.57
2020-03-22,trend,2967.15
2020-03-22,seasonal,27.86
2020-03-22,residual,931.56
2020-03-23,actual,3926.57
2020-03-23,trend,3837.9
2020-03-23,seasonal,18.05
2020-03-23,residual,70.61
2020-03-24,actual,3926.57
2020-03-24,trend,4708.66
2020-03-24,seasonal,8.32
2020-03-24,residual,-790.41
2020-03-25,actual,3926.57
2020-03-25,trend,5579.41
2020-03-25,seasonal,-1.32
2020-03-25,residual,-1651.52
2020-03-26,actual,3926.57
2020-03-26,trend,6450.16
2020-03-26,seasonal,-10.84
2020-03-26,residual,-2512.75
2020-03-27,actual,3926.57
2020-03-27,trend,7320.92
2020-03-27,seasonal,-20.08
2020-03-27,residual,-3374.26
2020-03-28,actual,3926.57
2020-03-28,trend,8191.67
2020-03-28,seasonal,-28.31
2020-03-28,residual,-4236.79
2020-03-29,actual,13556.29
2020-03-29,trend,9836.3
2020-03-29,seasonal,27.86
2020-03-29,residual,3692.14
2020-03-30,actual,13556.29
2020-03-30,trend,11252.15
2020-03-30,seasonal,18.05
2020-03-30,residual,2286.08
2020-03-31,actual,13556.29
2020-03-31,trend,12668.01
2020-03-31,seasonal,8.32
2020-03-31,residual,879.96
2020-04-01,actual,13556.29
2020-04-01,trend,14083.87
2020-04-01,seasonal,-1.32
2020-04-01,residual,-526.26
2020-04-02,actual,13556.29
2020-04-02,trend,15499.73
2020-04-02,seasonal,-10.84
2020-04-02,residual,-1932.59
2020-04-03,actual,13556.29
2020-04-03,trend,16915.58
2020-04-03,seasonal,-20.08
2020-04-03,residual,-3339.21
2020-04-04,actual,13556.29
2020-04-04,trend,18331.44
2020-04-04,seasonal,-28.31
2020-04-04,residual,-4746.85
2020-04-05,actual,25164.43
2020-04-05,trend,20157.02
2020-04-05,seasonal,27.86
2020-04-05,residual,4979.55
2020-04-06,actual,25164.43
2020-04-06,trend,21340.62
2020-04-06,seasonal,18.05
2020-04-06,residual,3805.75
2020-04-07,actual,25164.43
2020-04-07,trend,22524.22
2020-04-07,seasonal,8.32
2020-04-07,residual,2631.89
2020-04-08,actual,25164.43
2020-04-08,trend,23707.82
2020-04-08,seasonal,-1.32
2020-04-08,residual,1457.93
2020-04-09,actual,25164.43
2020-04-09,trend,24891.42
2020-04-09,seasonal,-10.84
2020-04-09,residual,283.85
2020-04-10,actual,25164.43
2020-04-10,trend,26075.02
2020-04-10,seasonal,-20.08
2020-04-10,residual,-890.51
2020-04-11,actual,25164.43
2020-04-11,trend,27258.62
2020-04-11,seasonal,-28.31
2020-04-11,residual,-2065.89
2020-04-12,actual,31310.29
2020-04-12,trend,28222.96
2020-04-12,seasonal,27.86
2020-04-12,residual,3059.47
2020-04-13,actual,31310.29
2020-04-13,trend,28413.43
2020-04-13,seasonal,18.05
2020-04-13,residual,2878.8
2020-04-14,actual,31310.29
2020-04-14,trend,28603.9
2020-04-14,seasonal,8.32
2020-04-14,residual,2698.07
2020-04-15,actual,31310.29
2020-04-15,trend,28794.36
2020-04-15,seasonal,-1.32
2020-04-15,residual,2517.24
2020-04-16,actual,31310.29
2020-04-16,trend,28984.83
2020-04-16,seasonal,-10.84
2020-04-16,residual,2336.3
2020-04-17,actual,31310.29
2020-04-17,trend,29175.3
2020-04-17,seasonal,-20.08
2020-04-17,residual,2155.07
2020-04-18,actual,31310.29
2020-04-18,trend,29365.76
2020-04-18,seasonal,-28.31
2020-04-18,residual,1972.83
2020-04-19,actual,28021.43
2020-04-19,trend,29642.09
2020-04-19,seasonal,27.86
2020-04-19,residual,-1648.51
2020-04-20,actual,28021.43
2020-04-20,trend,29508.69
2020-04-20,seasonal,18.05
2020-04-20,residual,-1505.31
2020-04-21,actual,28021.43
2020-04-21,trend,29375.29
2020-04-21,seasonal,8.32
2020-04-21,residual,-1362.18
2020-04-22,actual,28021.43
2020-04-22,trend,29241.89
2020-04-22,seasonal,-1.32
2020-04-22,residual,-1219.14
2020-04-23,actual,28021.43
2020-04-23,trend,29108.49
2020-04-23,seasonal,-10.84
2020-04-23,residual,-1076.22
2020-04-24,actual,28021.43
2020-04-24,trend,28975.09
2020-04-24,seasonal,-20.08
2020-04-24,residual,-933.58
2020-04-25,actual,28021.43
2020-04-25,trend,28841.69
2020-04-25,seasonal,-28.31
2020-04-25,residual,-791.95
2020-04-26,actual,29309.29
2020-04-26,trend,28644.2
2020-04-26,seasonal,27.86
2020-04-26,residual,637.23
2020-04-27,actual,29309.29
2020-04-27,trend,28665.97
2020-04-27,seasonal,18.05
2020-04-27,residual,625.26
2020-04-28,actual,29309.29
2020-04-28,trend,28687.75
2020-04-28,seasonal,8.32
2020-04-28,residual,613.22
2020-04-29,actual,29309.29
2020-04-29,trend,28709.52
2020-04-29,seasonal,-1.32
2020-04-29,residual,601.09
2020-04-30,actual,29309.29
2020-04-30,trend,28731.29
2020-04-30,seasonal,-10.84
2020-04-30,residual,588.84
2020-05-01,actual,29309.29
2020-05-01,trend,28753.06
2020-05-01,seasonal,-20.08
2020-05-01,residual,576.31
2020-05-02,actual,29309.29
2020-05-02,trend,28774.83
2020-05-02,seasonal,-28.31
2020-05-02,residual,562.76
2020-05-03,actual,28348.0
2020-05-03,trend,28642.41
2020-05-03,seasonal,27.86
2020-05-03,residual,-322.27
2020-05-04,actual,28348.0
2020-05-04,trend,28424.13
2020-05-04,seasonal,18.05
2020-05-04,residual,-94.19
2020-05-05,actual,28348.0
2020-05-05,trend,28205.86
2020-05-05,seasonal,8.32
2020-05-05,residual,133.82
2020-05-06,actual,28348.0
2020-05-06,trend,27987.58
2020-05-06,seasonal,-1.32
2020-05-06,residual,361.74
2020-05-07,actual,28348.0
2020-05-07,trend,27769.3
2020-05-07,seasonal,-10.84
2020-05-07,residual,589.54
2020-05-08,actual,28348.0
2020-05-08,trend,27551.03
2020-05-08,seasonal,-20.08
2020-05-08,residual,817.05
2020-05-09,actual,28348.0
2020-05-09,trend,27332.75
2020-05-09,seasonal,-28.31
2020-05-09,residual,1043.55
2020-05-10,actual,26035.14
2020-05-10,trend,26988.63
2020-05-10,seasonal,27.86
2020-05-10,residual,-981.34
2020-05-11,actual,26035.14
2020-05-11,trend,26708.59
2020-05-11,seasonal,18.05
2020-05-11,residual,-691.5
2020-05-12,actual,26035.14
2020-05-12,trend,26428.55
2020-05-12,seasonal,8.32
2020-05-12,residual,-401.73
2020-05-13,actual,26035.14
2020-05-13,trend,26148.51
2020-05-13,seasonal,-1.32
2020-05-13,residual,-112.05
2020-05-14,actual,26035.14
2020-05-14,trend,25868.48
2020-05-14,seasonal,-10.84
2020-05-14,residual,177.51
2020-05-15,actual,26035.14
2020-05-15,trend,25588.44
2020-05-15,seasonal,-20.08
2020-05-15,residual,466.79
2020-05-16,actual,26035.14
2020-05-16,trend,25308.4
2020-05-16,seasonal,-28.31
2020-05-16,residual,755.05
2020-05-17,actual,24147.43
2020-05-17,trend,25002.58
2020-05-17,seasonal,27.86
2020-05-17,residual,-883.01
2020-05-18,actual,24147.43
2020-05-18,trend,24850.95
2020-05-18,seasonal,18.05
2020-05-18,residual,-721.58
2020-05-19,actual,24147.43
2020-05-19,trend,24699.32
2020-05-19,seasonal,8.32
2020-05-19,residual,-560.22
2020-05-20,actual,24147.43
2020-05-20,trend,24547.69
2020-05-20,seasonal,-1.32
2020-05-20,residual,-398.94
2020-05-21,actual,24147.43
2020-05-21,trend,24396.07
2020-05-21,seasonal,-10.84
2020-05-21,residual,-237.79
2020-05-22,actual,24147.43
2020-05-22,trend,24244.44
2020-05-22,seasonal,-20.08
2020-05-22,residual,-76.92
2020-05-23,actual,24147.43
2020-05-23,trend,24092.81
2020-05-23,seasonal,-28.31
2020-05-23,residual,82.93
2020-05-24,actual,23760.71
2020-05-24,trend,23751.76
2020-05-24,seasonal,27.86
2020-05-24,residual,-18.91
2020-05-25,actual,23760.71
2020-05-25,trend,23536.56
2020-05-25,seasonal,18.05
2020-05-25,residual,206.09
2020-05-26,actual,23760.71
2020-05-26,trend,23321.36
2020-05-26,seasonal,8.32
2020-05-26,residual,431.03
2020-05-27,actual,23760.71
2020-05-27,trend,23106.16
2020-05-27,seasonal,-1.32
2020-05-27,residual,655.87
2020-05-28,actual,23760.71
2020-05-28,trend,22890.96
2020-05-28,seasonal,-10.84
2020-05-28,residual,880.59
2020-05-29,actual,23760.71
2020-05-29,trend,22675.76
2020-05-29,seasonal,-20.08
2020-05-29,residual,1105.03
2020-05-30,actual,23760.71
2020-05-30,trend,22460.56
2020-05-30,seasonal,-28.31
2020-05-30,residual,1328.45
2020-05-31,actual,20919.43
2020-05-31,trend,22277.21
2020-05-31,seasonal,27.86
2020-05-31,residual,-1385.63
2020-06-01,actual,20919.43
2020-06-01,trend,22119.64
2020-06-01,seasonal,18.05
2020-06-01,residual,-1218.26
2020-06-02,actual,20919.43
2020-06-02,trend,21962.07
2020-06-02,seasonal,8.32
2020-06-02,residual,-1050.96
2020-06-03,actual,20919.43
2020-06-03,trend,21804.49
2020-06-03,seasonal,-1.32
2020-06-03,residual,-883.74
2020-06-04,actual,20919.43
2020-06-04,trend,21646.92
2020-06-04,seasonal,-10.84
2020-06-04,residual,-716.65
2020-06-05,actual,20919.43
2020-06-05,trend,21489.35
2020-06-05,seasonal,-20.08
2020-06-05,residual,-549.84
2020-06-06,actual,20919.43
2020-06-06,trend,21331.78
2020-06-06,seasonal,-28.31
2020-06-06,residual,-384.04
2020-06-07,actual,21397.14
2020-06-07,trend,21194.17
2020-06-07,seasonal,27.86
2020-06-07,residual,175.11
2020-06-08,actual,21397.14
2020-06-08,trend,21245.98
2020-06-08,seasonal,18.05
2020-06-08,residual,133.11
2020-06-09,actual,21397.14
2020-06-09,trend,21297.79
2020-06-09,seasonal,8.32
2020-06-09,residual,91.03
2020-06-10,actual,21397.14
2020-06-10,trend,21349.6
2020-06-10,seasonal,-1.32
2020-06-10,residual,48.86
2020-06-11,actual,21397.14
2020-06-11,trend,21401.41
2020-06-11,seasonal,-10.84
2020-06-11,residual,6.57
2020-06-12,actual,21397.14
2020-06-12,trend,21453.22
2020-06-12,seasonal,-20.08
2020-06-12,residual,-35.99
2020-06-13,actual,21397.14
2020-06-13,trend,21505.03
2020-06-13,seasonal,-28.31
2020-06-13,residual,-79.58
2020-06-14,actual,21696.57
2020-06-14,trend,21824.88
2020-06-14,seasonal,27.86
2020-06-14,residual,-156.17
2020-06-15,actual,21696.57
2020-06-15,trend,22112.89
2020-06-15,seasonal,18.05
2020-06-15,residual,-434.38
2020-06-16,actual,21696.57
2020-06-16,trend,22400.9
2020-06-16,seasonal,8.32
2020-06-16,residual,-712.66
2020-06-17,actual,21696.57
2020-06-17,trend,22688.91
2020-06-17,seasonal,-1.32
2020-06-17,residual,-991.02
2020-06-18,actual,21696.57
2020-06-18,trend,22976.92
2020-06-18,seasonal,-10.84
2020-06-18,residual,-1269.51
2020-06-19,actual,21696.57
2020-06-19,trend,23264.93
2020-06-19,seasonal,-20.08
2020-06-19,residual,-1548.28
2020-06-20,actual,21696.57
2020-06-20,trend,23552.94
2020-06-20,seasonal,-28.31
2020-06-20,residual,-1828.07
2020-06-21,actual,25717.29
2020-06-21,trend,24586.26
2020-06-21,seasonal,27.86
