country,continent,month,cases_in_month,deaths_shifted_back14d,cfr_pct,deaths_per_M
United States,North America,2020-11-01,4692217,64002,1.364,189.193
United States,North America,2020-12-01,5627464,78346,1.392,231.594
United States,North America,2021-01-01,6972587,107994,1.549,319.235
United States,North America,2021-02-01,2467058,46797,1.897,138.334
United States,North America,2021-03-01,1602108,22630,1.413,66.895
United States,North America,2021-04-01,1779222,18540,1.042,54.805
United States,North America,2021-05-01,1193501,16430,1.377,48.568
United States,North America,2021-06-01,366941,7089,1.932,20.955
United States,North America,2021-07-01,965153,11395,1.181,33.684
United States,North America,2021-08-01,4291462,47669,1.111,140.912
United States,North America,2021-09-01,4056569,51650,1.273,152.68
United States,North America,2021-10-01,3054638,45404,1.486,134.216
United States,North America,2021-11-01,2336661,32856,1.406,97.124
United States,North America,2021-12-01,3902514,40928,1.049,120.985
United States,North America,2022-01-01,21878018,85295,0.39,252.136
United States,North America,2022-02-01,4577250,46702,1.02,138.053
United States,North America,2022-03-01,969050,15875,1.638,46.927
United States,North America,2022-04-01,944316,10449,1.107,30.888
United States,North America,2022-05-01,2924377,10939,0.374,32.336
United States,North America,2022-06-01,2798564,9799,0.35,28.966
United States,North America,2022-07-01,4262448,15788,0.37,46.67
United States,North America,2022-08-01,2744923,12167,0.443,35.966
United States,North America,2022-09-01,1805498,11146,0.617,32.948
United States,North America,2022-10-01,1391988,13063,0.938,38.615
United States,North America,2022-11-01,1125356,9619,0.855,28.434
United States,North America,2022-12-01,1718845,10929,0.636,32.307
United States,North America,2023-01-01,1914901,18706,0.977,55.296
United States,North America,2023-02-01,1085170,9303,0.857,27.5
United States,North America,2023-03-01,678002,7300,1.077,21.579
United States,North America,2023-04-01,568838,3534,0.621,10.447
United States,North America,2023-05-01,0,0,,0.0
